授業科目名,担当教員,役職,単位数,必修・選択・自由,開講年次,開講学期,実務経験,備考,シラバスURL
ジャーナリズム論,その他 教員,助教,2,選択,修士課程以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_81220501.html
スペイン語Ⅰ,吉江 貴文,准教授,2,選択,1年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00223401.html
スペイン語Ⅱ,吉江 貴文,准教授,2,選択,1年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00223501.html
スペイン語Ⅲ,川西 進,非常勤講師,2,選択,2年次以上,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00223601.html
スペイン語Ⅳ,川西 進,非常勤講師,2,選択,2年次以上,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00223701.html
スポーツ開発論,山平 芳美,講師,2,選択,2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114D5001.html
センサシステム,八方 直久,准教授,2,選択,３年次以上,後期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_26461301.html
ソフトウェア品質評価特論,島 和之,准教授,2,選択,１、２年,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_68412901.html
ソフトウェア工学概説,原 章,教授,2,選択,３年次,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_27433801.html
ソフトウエア工学概論,島 和之,准教授,2,選択,２年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28431001.html
ソフトコンピューティング,村田 佳洋,准教授,2,選択,３年次,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28431501.html
テクニカルコミュニケーション演習,八方 直久,准教授,1,必須,３年次以上,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_26431701.html
テクニカルＲ＆Ｗ演習,永山 忍,教授,1,必須,3年生,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_26432401.html
テクノロジーマネジメント,高橋 与志,非常勤講師,2,選択,3年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114E2501.html
テーマ研究（演習）,永見 文人,教授,6,必須,３年次,年間授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_323D2501.html
ディジタル信号処理,馬場 雅志,講師,2,選択,２年次以上,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_27431001.html
ディジタル信号処理,青山 正人,准教授,2,選択,3年,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_29430801.html
ディジタル無線通信,神尾 武司,講師,2,選択,３年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28450401.html
デザイン工芸概論,中村 圭,准教授,2,選択,１年次、２年次、全学部,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00140601.html
デザイン概論,納島 正弘,教授,2,選択,１年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_30314401.html
デザイン特講,吉田 幸弘,教授,2,選択,1・2年次,年間授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_74230701.html
デジタルデザイン,稲木 雅人,講師,2,選択,2年,後期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_26430101.html
デジタル信号処理,高橋 賢,准教授,2,選択,3年次,後期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_26430801.html
デッサン実習Ⅰ,荒木 亨子,准教授,2,必須,美術学科日本画専攻１年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_31320501.html
デッサン実習Ⅰ,原 崇浩,講師,4,必須,１年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_31334201.html
デッサン実習Ⅰ,友定 睦,助教,2,必須,美術学科彫刻専攻１年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_31340401.html
デッサン実習Ⅱ,山浦 めぐみ,講師,2,必須,美術学科日本画専攻２年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_31321001.html
デッサン実習Ⅱ,石黒 賢一郎,准教授,2,必須,２年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_31330901.html
デッサン実習Ⅱ,友定 睦,助教,2,必須,美術学科彫刻専攻２年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_31340801.html
デッサン実習Ⅲ,前田 力,准教授,2,必須,美術学科日本画専攻３年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_31321501.html
デッサン実習Ⅲ,石黒 賢一郎,准教授,2,必須,３年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_31331401.html
デッサン実習Ⅲ,友定 睦,助教,2,必須,美術学科彫刻専攻３年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_31341301.html
デッサン概論,石黒 賢一郎,准教授,2,選択,１年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00140101.html
データサイエンス,その他 教員,助教,2,選択,1・2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00131401.html
データベース,黒木 進,准教授,2,選択,３年次,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_26431101.html
データベース,田村 慶一,教授,2,選択,３年次,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_27430901.html
データベース,田村 慶一,教授,2,選択,３年次,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28461101.html
データベース,田村 慶一,教授,2,選択,３年次,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_29460101.html
データマイニング,黒木 進,准教授,2,選択,３年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_27440301.html
データ分析Ⅰ,山根 史博,准教授,2,選択,前期,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114D5301.html
データ分析Ⅱ,山根 史博,准教授,2,選択,後期,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114D5401.html
データ分析入門,山根 史博,准教授,2,選択,１年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_103K0701.html
